a_x, a_y, a_z, t
-0.0,-0.0,0.25,0.264479398727417
-0.0,-0.0,0.24,0.2675623893737793
-0.0,-0.0,0.25,0.26786088943481445
-0.0,-0.0,0.25,0.27094292640686035
-0.0,-0.01,0.25,0.2711803913116455
-0.0,-0.0,0.25,0.2748737335205078
-0.0,-0.0,0.24,0.2787439823150635
-0.0,-0.0,0.25,0.278902530670166
-0.02,-0.0,0.25,0.28290581703186035
-0.0,-0.0,0.25,0.2835991382598877
-0.0,-0.0,0.25,0.2868824005126953
-0.0,-0.0,0.25,0.28709983825683594
-0.0,-0.0,0.25,0.2909669876098633
0.0,-0.0,0.25,0.2911229133605957
-0.0,-0.0,0.25,0.29504966735839844
-0.0,-0.0,0.25,0.29529380798339844
-0.0,-0.0,0.25,0.29988861083984375
-0.0,-0.0,0.25,0.30042529106140137
-0.0,-0.0,0.25,0.3036766052246094
0.0,-0.0,0.25,0.3039369583129883
0.0,-0.01,0.25,0.30786728858947754
0.0,-0.01,0.25,0.30812835693359375
0.01,-0.01,0.25,0.3182709217071533
0.01,-0.01,0.25,0.3185884952545166
0.0,-0.01,0.25,0.32034802436828613
-0.01,-0.0,0.25,0.3216724395751953
-0.0,-0.0,0.25,0.3219923973083496
-0.0,-0.0,0.25,0.32230377197265625
-0.0,0.0,0.25,0.3247385025024414
-0.0,0.0,0.25,0.3250296115875244
-0.0,-0.0,0.25,0.32848048210144043
-0.0,-0.0,0.24,0.3331723213195801
-0.0,-0.0,0.25,0.33349156379699707
-0.0,0.0,0.25,0.33600950241088867
-0.0,-0.0,0.25,0.3363218307495117
-0.0,-0.0,0.25,0.34160900115966797
-0.0,-0.0,0.25,0.3419225215911865
0.0,-0.0,0.26,0.34409165382385254
-0.0,-0.0,0.25,0.3443644046783447
-0.0,-0.0,0.25,0.34830760955810547
-0.0,-0.0,0.25,0.3487379550933838
-0.0,-0.0,0.27,0.3522014617919922
-0.0,-0.0,0.25,0.3525211811065674
-0.0,-0.0,0.25,0.3565516471862793
-0.0,-0.0,0.25,0.3571197986602783
-0.0,-0.0,0.25,0.36049890518188477
-0.0,-0.0,0.24,0.3608224391937256
-0.0,-0.0,0.25,0.36611294746398926
-0.0,-0.0,0.25,0.36985349655151367
-0.0,-0.0,0.25,0.37020111083984375
-0.0,-0.0,0.25,0.3715794086456299
-0.0,-0.0,0.25,0.37189221382141113
-0.0,-0.0,0.25,0.375669002532959
-0.0,-0.0,0.25,0.3759422302246094
-0.0,0.0,0.25,0.37963366508483887
-0.0,-0.0,0.25,0.3798995018005371
-0.0,-0.0,0.25,0.3841872215270996
-0.0,-0.0,0.25,0.38498640060424805
-0.0,-0.0,0.24,0.38813281059265137
-0.0,-0.0,0.25,0.38849854469299316
-0.0,-0.0,0.24,0.3922910690307617
-0.0,0.0,0.25,0.3925654888153076
0.01,-0.0,0.24,0.3968329429626465
-0.0,-0.0,0.25,0.3972773551940918
-0.0,-0.0,0.25,0.40099263191223145
-0.0,-0.0,0.24,0.40128612518310547
-0.0,-0.0,0.25,0.40457844734191895
-0.0,-0.0,0.25,0.40825557708740234
0.02,-0.0,0.25,0.4085805416107178
0.0,-0.0,0.25,0.41233110427856445
-0.0,-0.0,0.25,0.4126012325286865
-0.0,-0.0,0.25,0.41655445098876953
-0.0,-0.0,0.24,0.41681909561157227
-0.0,-0.0,0.25,0.4206583499908447
-0.0,-0.0,0.25,0.4211001396179199
