a_x,a_y,a_z,t
-0.00043,-0.01092,0.26486,0.19627809524536133
-0.00201,-0.01324,0.24858,0.19641947746276855
-0.00189,-0.00994,0.24912,0.19921016693115234
-0.0025,-0.01238,0.24918,0.2020866870880127
-0.00152,-0.01238,0.249,0.20456624031066895
-0.00171,-0.0122,0.24583,0.20750689506530762
-0.00232,-0.01086,0.24937,0.21007800102233887
-0.00104,-0.01147,0.24693,0.21034741401672363
-0.00213,-0.01141,0.24833,0.21373558044433594
-0.00293,-0.01244,0.2465,0.21633291244506836
-0.0025,-0.01165,0.24912,0.21910738945007324
-0.00073,-0.0108,0.25327,0.2217698097229004
-0.0022,-0.01244,0.24803,0.22204089164733887
-0.00079,-0.01165,0.26315,0.22477006912231445
-0.00213,-0.0119,0.24906,0.22768378257751465
0.01549,-0.01263,0.24742,0.2303633689880371
-0.00189,-0.01354,0.24809,0.23323965072631836
-0.0025,-0.01299,0.25126,0.23357772827148438
-0.00171,-0.0122,0.24864,0.23621702194213867
-0.00366,-0.01122,0.24931,0.23896408081054688
-0.00152,-0.01141,0.24522,0.24156737327575684
-0.00268,-0.01122,0.25065,0.24430537223815918
-0.00281,-0.01159,0.25169,0.2470076084136963
-0.00201,-0.01238,0.24729,0.24740219116210938
-0.00238,-0.01287,0.26395,0.2502133846282959
-0.00293,-0.0122,0.25339,0.252882719039917
-0.00018,-0.01165,0.24821,0.2554028034210205
-0.0003,-0.01275,0.24961,0.2582123279571533
-0.0014,-0.01116,0.24766,0.25858187675476074
-0.00213,-0.01263,0.23467,0.2613859176635742
0.00018,-0.01336,0.25156,0.26421380043029785
-0.00293,-0.0111,0.25236,0.2668876647949219
-0.00128,-0.01427,0.25102,0.26967549324035645
-0.0011,-0.01269,0.24772,0.270033597946167
-0.00165,-0.01311,0.2465,0.27248430252075195
-0.00116,-0.01202,0.24864,0.27523136138916016
-0.00274,-0.01446,0.24827,0.2780146598815918
-0.0011,-0.01214,0.24626,0.28073740005493164
-0.0014,-0.01068,0.24876,0.28121113777160645
-0.00146,-0.01147,0.24815,0.28399133682250977
-0.00195,-0.01391,0.25236,0.28667140007019043
-0.00256,-0.01366,0.2462,0.28939366340637207
-0.00317,-0.01196,0.24796,0.2920799255371094
-0.00378,-0.01354,0.25315,0.29456257820129395
-0.00104,-0.01153,0.2454,0.2949066162109375
-0.00055,-0.01202,0.24821,0.2977101802825928
-0.00226,-0.01202,0.24675,0.30031847953796387
-0.00348,-0.0119,0.25065,0.3030369281768799
-0.00122,-0.01299,0.24986,0.3055284023284912
-0.00207,-0.01305,0.24821,0.30588555335998535
-0.00043,-0.01153,0.26285,0.30870938301086426
-0.00201,-0.01251,0.25278,0.3113713264465332
-0.00159,-0.01318,0.25053,0.31418395042419434
-0.00256,-0.01244,0.24973,0.3177196979522705
-0.00024,-0.01183,0.23467,0.31782960891723633
-0.00177,-0.01141,0.26407,0.32068681716918945
-0.00085,-0.01183,0.25083,0.323486328125
-0.00037,-0.01153,0.24833,0.32622790336608887
-0.00055,-0.01202,0.2462,0.3289375305175781
-0.00049,-0.01159,0.24766,0.33173656463623047
-0.00037,-0.01257,0.24809,0.33188581466674805
-0.00329,-0.01269,0.2548,0.3348574638366699
-0.00128,-0.01031,0.25376,0.3375563621520996
-0.00049,-0.01183,0.24888,0.34021830558776855
-0.00268,-0.01171,0.2498,0.3429296016693115
-0.00073,-0.01452,0.24638,0.3431684970855713
-0.00384,-0.0119,0.24784,0.3459961414337158
-0.00232,-0.01098,0.24986,0.3486907482147217
0.0,-0.01208,0.24876,0.35149574279785156
-0.00159,-0.01232,0.24705,0.35421276092529297
-0.0011,-0.01159,0.24662,0.3544759750366211
-0.0025,-0.01287,0.24613,0.35718679428100586
0.00018,-0.01226,0.24876,0.3599565029144287
-0.00134,-0.01098,0.24577,0.3627791404724121
-0.00134,-0.01275,0.24882,0.3655555248260498
-0.00262,-0.01311,0.25193,0.36580944061279297
-0.00201,-0.01311,0.2498,0.36844849586486816
-0.00152,-0.01092,0.2454,0.371265172958374
-0.00274,-0.01177,0.24699,0.3739337921142578
-0.00159,-0.01147,0.24912,0.37674832344055176
0.00012,-0.01269,0.25004,0.3795182704925537
-0.00415,-0.0111,0.26358,0.3798482418060303
-0.00232,-0.01147,0.24931,0.3825244903564453
-0.00152,-0.01202,0.24961,0.38523292541503906
-0.00238,-0.01104,0.24485,0.38806867599487305
-0.00183,-0.01232,0.24955,0.39073896408081055
-0.00134,-0.01171,0.24778,0.3911406993865967
-0.00079,-0.01068,0.24998,0.39377498626708984
-0.00287,-0.01495,0.24681,0.39636802673339844
-0.00104,-0.01275,0.24876,0.39906787872314453
-0.00146,-0.01305,0.24784,0.40189075469970703
-0.00134,-0.01135,0.25132,0.40228819847106934
-0.00189,-0.01324,0.24607,0.40499019622802734
-0.00238,-0.01104,0.24967,0.40769028663635254
-0.00207,-0.01049,0.24912,0.41038990020751953
-0.00281,-0.01257,0.24925,0.4131028652191162
-0.00146,-0.01135,0.24796,0.4162003993988037
-0.00079,-0.01275,0.24906,0.4165771007537842
-0.00024,-0.01427,0.25126,0.41947484016418457
-0.00134,-0.0111,0.24986,0.422137975692749
-0.00104,-0.01251,0.25083,0.42469048500061035
-0.00305,-0.01208,0.25156,0.42757582664489746
0.00073,-0.01159,0.24918,0.42798447608947754
-0.0011,-0.01366,0.24809,0.4305567741394043
-0.00244,-0.01153,0.24504,0.43343067169189453
-0.00201,-0.01196,0.25138,0.43618226051330566
0.0,-0.01293,0.24803,0.4389681816101074
0.00159,-0.0111,0.24803,0.439363956451416
-0.00238,-0.01263,0.24516,0.4421515464782715
-0.00348,-0.01238,0.25114,0.44470691680908203
-0.0014,-0.01165,0.24705,0.44747257232666016
-0.00171,-0.01159,0.24833,0.45012497901916504
-6e-05,-0.01299,0.26236,0.4504706859588623
-0.0022,-0.01135,0.24735,0.45317745208740234
-0.00213,-0.01238,0.24906,0.45586061477661133
-0.00305,-0.01379,0.2479,0.45850062370300293
-0.00122,-0.01086,0.24955,0.46117687225341797
-0.00159,-0.01391,0.24894,0.46154332160949707
-0.00244,-0.0122,0.26199,0.4644601345062256
-0.00207,-0.01122,0.24626,0.46716833114624023
-0.00311,-0.01354,0.25431,0.4698190689086914
-0.00177,-0.01214,0.24876,0.47237300872802734
-0.00195,-0.01208,0.24522,0.4752471446990967
-0.00152,-0.01116,0.24809,0.47568821907043457
-0.00116,-0.01104,0.24723,0.4783365726470947
-0.00256,-0.0108,0.24565,0.48096179962158203
-0.00128,-0.01177,0.24766,0.4837651252746582
