a_x,a_y,a_z,t
-0.00531,-0.01055,0.25163,0.0027108192443847656
-0.00586,-0.01025,0.24992,0.0055425167083740234
-0.0047,-0.0097,0.24955,0.008285045623779297
-0.00354,-0.01171,0.24803,0.008536338806152344
-0.00366,-0.0108,0.24967,0.011269569396972656
-0.00665,-0.00854,0.24699,0.013939380645751953
-0.00482,-0.0097,0.25077,0.01672959327697754
-0.00311,-0.00982,0.24784,0.019561052322387695
-0.00622,-0.00927,0.24949,0.019948959350585938
-0.00378,-0.01049,0.25022,0.022613525390625
-0.00488,-0.01257,0.25468,0.025176286697387695
-0.00421,-0.01043,0.25016,0.028015851974487305
-0.00335,-0.01128,0.24882,0.030714750289916992
-0.00543,-0.01177,0.24607,0.03337883949279785
-0.00702,-0.01104,0.2501,0.03372311592102051
-0.00622,-0.00976,0.24906,0.03627824783325195
-0.00378,-0.01037,0.25181,0.03895735740661621
-0.00287,-0.00921,0.24882,0.04186892509460449
-0.00378,-0.00903,0.24687,0.04449105262756348
-0.00573,-0.01122,0.25254,0.044774770736694336
-0.0039,-0.01019,0.24796,0.04741549491882324
-0.00476,-0.01061,0.24766,0.05032944679260254
-0.00586,-0.00939,0.2462,0.05300784111022949
-0.00287,-0.00848,0.24882,0.05568528175354004
-0.00482,-0.01092,0.24705,0.05604195594787598
-0.00708,-0.01141,0.25059,0.058660030364990234
-0.00525,-0.01086,0.24553,0.06149649620056152
-0.00433,-0.0097,0.24754,0.06409907341003418
-0.00366,-0.00927,0.24534,0.06688761711120605
-0.00647,-0.00952,0.2498,0.06949877738952637
-0.00653,-0.0111,0.25388,0.06990599632263184
-0.00458,-0.00958,0.24491,0.0726771354675293
-0.00409,-0.00872,0.24705,0.07534170150756836
-0.00317,-0.0111,0.23534,0.07819366455078125
-0.005,-0.01013,0.24516,0.0807957649230957
-0.00311,-0.01098,0.24973,0.08116555213928223
-0.00586,-0.01025,0.2512,0.08394765853881836
-0.00451,-0.00952,0.24772,0.08647847175598145
-0.0058,-0.00897,0.26273,0.08918929100036621
-0.0058,-0.00921,0.24638,0.0919189453125
-0.00494,-0.01196,0.24931,0.09230661392211914
-0.00403,-0.00976,0.24607,0.09504365921020508
-0.005,-0.00939,0.24485,0.0989375114440918
-0.00372,-0.00872,0.24784,0.10170936584472656
-0.00573,-0.01196,0.23601,0.1043694019317627
-0.005,-0.00939,0.24553,0.1070547103881836
-0.0047,-0.00958,0.25138,0.10749650001525879
-0.00464,-0.01074,0.2501,0.11009478569030762
-0.00494,-0.01104,0.24632,0.11298418045043945
-0.00787,-0.01153,0.26303,0.1155385971069336
-0.00488,-0.00903,0.25205,0.11816596984863281
-0.00506,-0.01013,0.24918,0.11850929260253906
-0.00372,-0.0097,0.24742,0.12122058868408203
-0.00397,-0.01104,0.24662,0.12395977973937988
-0.00744,-0.00817,0.24742,0.12662792205810547
-0.00586,-0.01025,0.24827,0.1293652057647705
-0.00549,-0.01171,0.25004,0.1296696662902832
-0.0036,-0.01055,0.24467,0.13254594802856445
-0.00409,-0.01068,0.24943,0.1352076530456543
-0.00512,-0.00952,0.24675,0.13791441917419434
-0.00525,-0.01025,0.24851,0.1405341625213623
-0.0039,-0.01183,0.25297,0.1433258056640625
-0.00488,-0.01086,0.24248,0.14388632774353027
-0.00458,-0.01068,0.25193,0.1465921401977539
